text,label
slide giáo trình đầy đủ .,Positive
"nhiệt tình giảng dạy , gần gũi với sinh viên .",Positive
đi học đầy đủ full điểm chuyên cần .,Negative
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,Negative
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",Positive
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",Positive
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",Neutral
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",Negative
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",Negative
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,Negative
thầy rất tận tình và đi dạy rất đúng giờ .,Positive
dễ bị áp lực .,Negative
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",Neutral
môn học còn dễ cần nâng độ khó lên nữa .,Negative
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",Negative
hài lòng về tất cả .,Positive
"nhiệt tình , vui vẻ .",Positive
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,Positive
phong cách giảng bài của thầy rất gần gũi với sinh viên !,Positive
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,Positive
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,Negative
tiết học thoải mái .,Positive
"thầy nhiệt tình , quan tâm tới sinh viên .",Positive
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",Positive
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",Negative
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,Positive
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,Negative
nên biên soạn một tài liệu của chính trường ta .,Negative
không giúp đỡ sinh viên trong những vấn đề xung quanh .,Negative
"bài tập đa dạng , cụ thể .",Positive
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",Negative
slide up đầy đủ trước mỗi buổi học .,Positive
"nội dung giảng dạy quá nhàm chán , khô khan .",Negative
lượng kiến thức quá nhiều trong một học kỳ .,Negative
thầy chép bảng nhiều .,Negative
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",Positive
"chúc các thầy cô , anh chị làm việc vui vẻ !",Positive
"hay , nhiệt tình , dễ hiểu .",Positive
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",Negative
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",Positive
hy vọng học kỳ sau có thể học được với cô .,Positive
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,Negative
trong khi giảng nói nhỏ quá .,Negative
thực hành khó hiểu .,Negative
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",Positive
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",Positive
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",Positive
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",Negative
"thầy nhiệt tình , dễ chịu .",Positive
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",Negative
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,Positive
cô rất nhiệt tình và tận dụng tốt thời gian .,Positive
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",Positive
"thầy nhiệt tình , gần gũi .",Positive
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",Positive
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,Neutral
bài tập và có code tham khảo .,Positive
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",Negative
tài liệu không chi tiết lắm .,Negative
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",Positive
thầy dạy rất hay và nhiệt tình .,Positive
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",Negative
giúp đỡ học sinh quá ít .,Negative
cô dạy buồn ngủ quá .,Negative
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,Negative
thầy tận tình vui tính .,Positive
cô lại kiểu khó tính nữa .,Negative
tạo hứng thú cho sinh viên .,Positive
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,Positive
có hứng thú học .,Positive
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,Neutral
"giảng viên hướng dẫn cụ thể , chi tiết .",Positive
giáo trình quá ít và nội dung không khác nhau là mấy .,Negative
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",Negative
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",Negative
"cần có một phòng máy tốt hơn , hiện đại hơn .",Negative
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,Negative
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",Negative
giảng viên đánh giá sai điểm và năng lực của học sinh .,Negative
không đáp ứng được đề cương môn học đề ra .,Negative
thầy nên hướng dẫn thực hành nhiều hơn .,Negative
"giảng viên thân thiện , quan tâm tới sinh viên .",Positive
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",Negative
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",Positive
thầy dạy rất tốt và nhiệt tình .,Positive
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",Negative
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",Negative
bài tập và hoạt động nhóm còn ít .,Negative
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",Positive
cô hướng dẫn thực hành khá đầy đủ .,Positive
được học nhiều kinh nghiệm từ thầy wzjwz163 .,Positive
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",Positive
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,Negative
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,Negative
dạy không phù hợp với cách học của em .,Negative
giải thích nội dung mới rõ ràng .,Positive
lớp học quá đông !,Negative
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",Negative
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",Negative
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",Negative
tôi cảm thấy giảng viên dạy rất tốt .,Positive
